from_stop_id,to_stop_id,transfer_type,min_transfer_time
654,1316,2,300
10492,8042,2,420
6820,6563,,
5216,7635,2,120
498,441,2,300
797,12134,,
6124,6053,,
2717,12405,2,300
3565,3449,2,480
10893,12673,2,300
11529,1283,,
6204,6164,,
1775,4119,2,120
8755,8687,,
924,1361,,
5741,5703,2,300
486,11278,2,360
3178,3220,,
6648,6808,,
8073,11606,2,300
9492,11754,2,480
497,955,2,600
5040,5794,2,480
1679,2028,,
1130,659,2,300
8760,8673,,
1525,11280,2,300
5769,5668,,
11248,11269,,
2032,1824,,
213,10966,,
4915,11826,2,360
10429,8066,,
11248,11246,,
887,12749,2,300
9243,9324,2,300
12588,9510,,
5700,6000,,
8139,963,,
11807,11806,,
8672,8687,,
2717,2833,,
10258,10628,2,300
11535,8535,2,600
11289,11788,,
2035,1258,,
8065,5989,,
7745,12639,2,300
11429,26,2,360
9239,11114,,
12232,12241,2,300
11454,11423,2,300
4468,11708,2,360
2418,2527,2,360
1457,2788,,
11808,11810,,
12206,12207,2,360
190,4495,2,360
8052,2252,,
12241,12232,,
8913,8763,2,360
7576,7629,,
8644,1423,,
8045,695,,
8072,1572,,
8020,12020,2,120
5436,6174,,
1728,1546,,
11252,11251,2,120
8032,12647,2,120
6455,6080,2,120
3243,12229,2,300
12513,10619,,
3954,3314,2,300
4381,451,2,120
10886,10887,,
96,12036,2,300
11959,11952,,
713,1347,2,300
11303,8035,2,480
7469,6736,2,120
11075,6051,,
10643,11593,,
7214,7207,,
5509,11861,2,300
12291,3656,2,300
10299,7666,2,420
8654,5826,,
11882,5891,,
11589,11606,,
5404,10163,2,600
6470,6479,2,300
8752,906,2,360
11248,11266,,
10199,6475,,
12548,11357,2,300
11248,11289,,
5644,6462,,
4381,10873,2,120
4107,4168,2,300
11827,3317,2,300
12409,8049,,
5725,5037,,
8070,11674,,
8683,8749,2,300
1202,1307,2,360
1039,1514,,
4456,11367,2,300
11810,11801,,
4830,4061,2,300
4471,989,2,120
812,811,2,300
8040,4496,2,360
12155,12695,2,480
4917,4847,2,300
1736,8563,,
7429,7495,,
985,11522,2,300
12036,10399,2,120
7446,7501,,
419,483,,
584,4887,2,480
3699,3679,,
8060,5768,2,300
10895,779,2,480
8038,11438,2,480
981,1487,2,300
7493,7446,,
30,11481,,
11283,12585,2,360
4879,542,2,360
701,11623,,
2119,11352,2,360
3056,3064,2,300
11806,11799,,
8680,8757,,
1133,1075,,
11023,1042,,
4050,4274,2,360
11707,12716,2,300
924,1301,,
5593,6077,,
9651,4403,2,360
11964,9376,,
4845,5244,2,120
815,2054,,
4514,4301,2,300
5405,5298,,
7144,8299,2,360
2032,1838,,
11623,701,,
189,40,2,480
3900,9174,,
3816,3806,,
8073,11589,2,300
8672,8690,,
7023,8823,,
8020,11943,,
4191,4301,,
8755,8690,,
1173,2414,2,120
12234,3204,,
12498,7727,,
8021,3394,2,120
3428,942,2,300
2039,1320,,
11589,972,2,300
11877,11876,,
11876,1401,2,420
1622,2028,,
4459,10867,2,120
10305,7785,,
6566,6486,,
11710,11712,,
11281,1525,2,300
361,9530,2,360
11310,10468,2,360
1065,8046,,
1187,1160,2,300
10873,452,2,120
1320,1996,,
6648,6908,,
8763,8044,2,360
8057,5667,2,300
12063,12066,2,360
10017,8697,2,300
3334,3906,,
860,199,2,300
256,11622,2,300
668,669,,
2227,1329,,
